"","Data Source","World Development Indicators","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66"
"1","Last Updated Date","44820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"4","Aruba","ABW","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335","2.3333333333333335",NA
"5","Africa Eastern and Southern","AFE","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.230005728261617","36.078752472873454","35.927499217485291","35.776245962097121","35.624992706708959","35.473739451320789","35.322486195932626","35.171232940544463","35.019979685156294","34.868726429768131","34.717473174379961","34.53746250843507","34.357451842490164","34.177441176545273","33.654273577362773","33.475977146032854","33.297801719440351","33.119504037460835","32.941395877223549","32.763130625892153","32.583415480930498","32.370920953768426","31.890583366275841","31.680564623617755","31.470563981496003","31.260350340854011","31.039612540937963","30.824247699082218","30.611443712092068","30.391558389312991","30.174185634139004",NA
"6","Afghanistan","AFG","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424","1.8527819940818424",NA
"7","Africa Western and Central","AFW","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.776908127325669","22.658745669251299","22.540583211176926","22.42242075310255","22.304258295028177","22.186095836953807","22.067933378879431","21.949770920805062","21.831608462730685","21.713446004656316","21.595283546581943","21.503156344726492","21.41102914287104","21.318901941015589","21.226774739160138","21.134647537304687","21.042520335449236","20.950393133593789","20.858265931738337","20.766138729882883","20.674011528027435","20.586055376098027","20.49809922416862","20.410143072239212","20.3221869203098","20.234230768380392","20.152610156338092","20.071327182398864","19.98609959561254","19.901214710063698","19.816777405314063",NA
"8","Angola","AGO","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63.578070105077408","63.453407395524188","63.32874468597096","63.204081976417747","63.079419266864519","62.954756557311299","62.830093847758086","62.705431138204858","62.580768428651638","62.456105719098417","62.331443009545197","61.886218817678674","61.440994625812138","60.995770433945616","60.550546242079093","60.105322050212564","59.660097858346028","59.214873666479505","58.769649474612976","58.324425282746454","57.879201090879931","57.433976096895798","56.988751102911685","56.543526108927566","56.098301114943453","55.653076120959334","55.207844710034493","54.762629341461455","54.317405951712516","53.872174540787675","53.42695115103875",NA
"9","Albania","ALB","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.788321167883211","28.717153284671532","28.645985401459857","28.574817518248175","28.503649635036499","28.432481751824817","28.361313868613138","28.290145985401459","28.21897810218978","28.147810218978105","28.076642335766422","28.123248175182486","28.169854014598538","28.216459854014602","28.263065693430654","28.309671532846714","28.356277372262774","28.40288321167883","28.44948905109489","28.496094890510946","28.542700729927006","28.594653284671534","28.646605839416058","28.698558394160585","28.750510948905113","28.802463503649633","28.802189781021898","28.792062043795617","28.791970802919707","28.791970802919707","28.791970802919707",NA
"10","Andorra","AND","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361","34.042553191489361",NA
"11","Arab World","ARB","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.7317671841662849","3.713698175743867","3.6956237371368226","3.6775547552641599","3.6594857733914972","3.6414167988656003","3.6233478169929376","3.6052788351202749","3.5872098532476122","3.5691408713749495","3.5510718895022868","3.5366592241477033","3.5222465587931202","3.5078802822753028","3.4934699929271695","3.4790545703697626","3.4646264419349464","3.4502085798956768","3.4357932844383225","3.422011559993654","3.4075981442333405","3.389776401024394","2.9564054371818091","2.9379369968136668","2.9194517469535559","2.9009380385279129","2.883323261220978","2.8639429091800102","2.8444200349146178","2.8266201403651312","2.8088952608016657",NA
"12","United Arab Emirates","ARE","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.4497324697268379","3.5404533934103068","3.6311743170937762","3.7218952407772461","3.8126161644607151","3.9033370881441849","3.9940580118276539","4.0847789355111246","4.1754998591945931","4.2662207828780625","4.3569417065615328","4.3680230920867364","4.3791044776119401","4.3901858631371447","4.4012672486623483","4.4123486341875529","4.4234300197127565","4.4345114052379611","4.4455927907631656","4.4566741762883693","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738","4.4677555618135738",NA
"13","Argentina","ARG","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.863714925694907","12.796991986670028","12.730269047645148","12.663546108620269","12.596823169595387","12.530100230570508","12.463377291545626","12.396654352520747","12.329931413495865","12.263208474470986","12.196485535446104","12.080871417661482","11.965257299876859","11.849643182092235","11.734029064307611","11.618414946522989","11.502800828738366","11.387186710953744","11.27157259316912","11.155958475384498","11.040344357599874","10.958712897697584","10.877081437795292","10.795449977893004","10.713818517990711","10.632187058088419","10.600396829746884","10.559836883242165","10.520373151507844","10.48017860992659","10.440714878192269",NA
"14","Armenia","ARM","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.742606252195293","11.735265191429574","11.727924130663856","11.720583069898138","11.713242009132422","11.705900948366702","11.698559887600982","11.691218826835264","11.683877766069548","11.676571829996488","11.669265893923427","11.661959957850367","11.65465402177731","11.64734808570425","11.640042149631192","11.632736213558131","11.625430277485073","11.618124341412011","11.610818405338954","11.603512469265894","11.596206533192834","11.588900597119775","11.581594661046717","11.574288724973655","11.566912539515279","11.559536354056902","11.552160168598526","11.544783983140148","11.537407797681769",NA
