"","X","Source","Year","Mean"
"1",1,"GCAG",2016,0.9363
"2",2,"GISTEMP",2016,0.99
"3",3,"GCAG",2015,0.8998
"4",4,"GISTEMP",2015,0.87
"5",5,"GCAG",2014,0.7408
"6",6,"GISTEMP",2014,0.74
"7",7,"GCAG",2013,0.6679
"8",8,"GISTEMP",2013,0.65
"9",9,"GCAG",2012,0.624
"10",10,"GISTEMP",2012,0.63
"11",11,"GCAG",2011,0.5788
"12",12,"GISTEMP",2011,0.6
"13",13,"GCAG",2010,0.7014
"14",14,"GISTEMP",2010,0.71
"15",15,"GCAG",2009,0.6367
"16",16,"GISTEMP",2009,0.64
"17",17,"GCAG",2008,0.5419
"18",18,"GISTEMP",2008,0.54
"19",19,"GCAG",2007,0.61
"20",20,"GISTEMP",2007,0.66
"21",21,"GCAG",2006,0.6125
"22",22,"GISTEMP",2006,0.63
"23",23,"GCAG",2005,0.6585
"24",24,"GISTEMP",2005,0.69
"25",25,"GCAG",2004,0.5783
"26",26,"GISTEMP",2004,0.55
"27",27,"GCAG",2003,0.6134
"28",28,"GISTEMP",2003,0.62
"29",29,"GCAG",2002,0.6023
"30",30,"GISTEMP",2002,0.63
"31",31,"GCAG",2001,0.5473
"32",32,"GISTEMP",2001,0.55
"33",33,"GCAG",2000,0.4262
"34",34,"GISTEMP",2000,0.42
"35",35,"GCAG",1999,0.4438
"36",36,"GISTEMP",1999,0.42
"37",37,"GCAG",1998,0.6344
"38",38,"GISTEMP",1998,0.64
"39",39,"GCAG",1997,0.5187
"40",40,"GISTEMP",1997,0.48
"41",41,"GCAG",1996,0.3228
"42",42,"GISTEMP",1996,0.35
"43",43,"GCAG",1995,0.4577
"44",44,"GISTEMP",1995,0.46
"45",45,"GCAG",1994,0.3409
"46",46,"GISTEMP",1994,0.32
"47",47,"GCAG",1993,0.2853
"48",48,"GISTEMP",1993,0.24
"49",49,"GCAG",1992,0.2571
"50",50,"GISTEMP",1992,0.23
"51",51,"GCAG",1991,0.4055
"52",52,"GISTEMP",1991,0.43
"53",53,"GCAG",1990,0.4328
"54",54,"GISTEMP",1990,0.44
"55",55,"GCAG",1989,0.297
"56",56,"GISTEMP",1989,0.29
"57",57,"GCAG",1988,0.3757
"58",58,"GISTEMP",1988,0.41
"59",59,"GCAG",1987,0.3696
"60",60,"GISTEMP",1987,0.33
"61",61,"GCAG",1986,0.2296
"62",62,"GISTEMP",1986,0.19
"63",63,"GCAG",1985,0.1342
"64",64,"GISTEMP",1985,0.12
"65",65,"GCAG",1984,0.149
"66",66,"GISTEMP",1984,0.15
"67",67,"GCAG",1983,0.3411
"68",68,"GISTEMP",1983,0.3
"69",69,"GCAG",1982,0.1815
"70",70,"GISTEMP",1982,0.13
"71",71,"GCAG",1981,0.2999
"72",72,"GISTEMP",1981,0.33
"73",73,"GCAG",1980,0.2637
"74",74,"GISTEMP",1980,0.27
"75",75,"GCAG",1979,0.2273
"76",76,"GISTEMP",1979,0.17
"77",77,"GCAG",1978,0.1123
"78",78,"GISTEMP",1978,0.07
"79",79,"GCAG",1977,0.1978
"80",80,"GISTEMP",1977,0.18
"81",81,"GCAG",1976,-0.0792
"82",82,"GISTEMP",1976,-0.11
"83",83,"GCAG",1975,0.0034
"84",84,"GISTEMP",1975,-0.02
"85",85,"GCAG",1974,-0.0719
"86",86,"GISTEMP",1974,-0.07
"87",87,"GCAG",1973,0.1641
"88",88,"GISTEMP",1973,0.15
"89",89,"GCAG",1972,0.0264
"90",90,"GISTEMP",1972,0.01
"91",91,"GCAG",1971,-0.0783
"92",92,"GISTEMP",1971,-0.09
"93",93,"GCAG",1970,0.0372
"94",94,"GISTEMP",1970,0.02
"95",95,"GCAG",1969,0.0929
"96",96,"GISTEMP",1969,0.07
"97",97,"GCAG",1968,-0.0296
"98",98,"GISTEMP",1968,-0.07
"99",99,"GCAG",1967,-0.0131
"100",100,"GISTEMP",1967,-0.02
"101",101,"GCAG",1966,-0.0227
"102",102,"GISTEMP",1966,-0.05
"103",103,"GCAG",1965,-0.078
"104",104,"GISTEMP",1965,-0.1
"105",105,"GCAG",1964,-0.1495
"106",106,"GISTEMP",1964,-0.2
"107",107,"GCAG",1963,0.1068
"108",108,"GISTEMP",1963,0.06
"109",109,"GCAG",1962,0.0888
"110",110,"GISTEMP",1962,0.03
"111",111,"GCAG",1961,0.0775
"112",112,"GISTEMP",1961,0.05
"113",113,"GCAG",1960,0.0204
"114",114,"GISTEMP",1960,-0.02
"115",115,"GCAG",1959,0.0596
