Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1990","1990","3050","FAO TIER 1","kilotonnes","961","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1990","1990","3050","FAO TIER 1","kilotonnes","7.06","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6821","Energy","1990","1990","3050","FAO TIER 1","kilotonnes","264000","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1991","1991","3050","FAO TIER 1","kilotonnes","1020","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1991","1991","3050","FAO TIER 1","kilotonnes","7.06","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6821","Energy","1991","1991","3050","FAO TIER 1","kilotonnes","262000","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1992","1992","3050","FAO TIER 1","kilotonnes","1050","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1992","1992","3050","FAO TIER 1","kilotonnes","7.1","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6821","Energy","1992","1992","3050","FAO TIER 1","kilotonnes","269000","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1993","1993","3050","FAO TIER 1","kilotonnes","1070","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1993","1993","3050","FAO TIER 1","kilotonnes","7.34","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6821","Energy","1993","1993","3050","FAO TIER 1","kilotonnes","278000","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1994","1994","3050","FAO TIER 1","kilotonnes","988","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1994","1994","3050","FAO TIER 1","kilotonnes","7.45","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7273","Emissions (CO2)","6821","Energy","1994","1994","3050","FAO TIER 1","kilotonnes","277000","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7225","Emissions (CH4)","6821","Energy","1995","1995","3050","FAO TIER 1","kilotonnes","1050","E","Estimated value",""
"GT","Emissions Totals","036","Australia","7230","Emissions (N2O)","6821","Energy","1995","1995","3050","FAO TIER 1","kilotonnes","7.76","E","Estimated value",""
